2022-11-23 13:19:42.795 +0100 CET,26777,476
2022-11-23 13:22:27.342 +0100 CET,26054,403
2022-11-23 13:24:46.96 +0100 CET,25328,341
2022-11-23 13:26:46.63 +0100 CET,24594,288
2022-11-23 13:28:21.368 +0100 CET,23839,242
2022-11-23 13:29:36.162 +0100 CET,23075,203
2022-11-23 13:30:35.998 +0100 CET,22356,172
2022-11-23 13:31:35.833 +0100 CET,21644,146
2022-11-23 13:32:35.669 +0100 CET,20900,123
2022-11-23 13:43:33.833 +0100 CET,21644,146
2022-11-23 13:47:28.178 +0100 CET,22356,172
2022-11-23 13:49:42.8 +0100 CET,23075,203
2022-11-23 13:55:01.909 +0100 CET,22356,172
2022-11-23 13:56:21.688 +0100 CET,21644,146
2022-11-23 13:57:06.565 +0100 CET,20935,124
2022-11-23 13:57:41.47 +0100 CET,22967,198
2022-11-23 14:02:00.745 +0100 CET,20828,121
2022-11-23 14:02:50.608 +0100 CET,22967,198
2022-11-23 14:06:54.926 +0100 CET,22254,168
2022-11-23 14:08:49.609 +0100 CET,21523,142
2022-11-23 14:08:59.593 +0100 CET,21523,141
2022-11-23 14:11:01.268 +0100 CET,22305,170
2022-11-23 14:12:55.951 +0100 CET,21584,144
2022-11-23 14:14:45.643 +0100 CET,22406,174
2022-11-23 14:18:05.085 +0100 CET,23139,206
2022-11-23 14:18:15.06 +0100 CET,20792,120
2022-11-23 14:18:20.049 +0100 CET,22989,199
2022-11-23 14:19:14.897 +0100 CET,22279,169
2022-11-23 14:20:09.746 +0100 CET,21554,143
2022-11-23 14:28:38.329 +0100 CET,22279,169
2022-11-23 14:37:21.888 +0100 CET,21523,142
2022-11-23 14:45:30.558 +0100 CET,20792,120
2022-11-23 15:03:52.583 +0100 CET,20792,128
2022-11-23 15:33:29.818 +0100 CET,20087,102
2022-11-23 15:38:53.959 +0100 CET,19345,86
2022-11-23 15:39:33.857 +0100 CET,18634,73
2022-11-23 15:47:17.615 +0100 CET,17924,62
2022-11-23 15:48:32.418 +0100 CET,17161,52
2022-11-23 15:50:27.115 +0100 CET,16533,45
2022-11-23 15:52:21.814 +0100 CET,15798,38
2022-11-23 15:58:25.848 +0100 CET,14914,31
2022-11-23 15:58:45.807 +0100 CET,14914,29
2022-11-23 16:04:21.92 +0100 CET,15798,38
2022-11-23 16:06:16.615 +0100 CET,14914,31
2022-11-23 16:08:26.271 +0100 CET,13803,24
2022-11-23 16:15:35.12 +0100 CET,12305,17
2022-11-23 16:27:28.177 +0100 CET,13803,24
2022-11-23 16:28:33.003 +0100 CET,14914,31
2022-11-23 16:33:22.223 +0100 CET,13803,24
2022-11-23 16:34:37.004 +0100 CET,12305,17
2022-11-23 16:38:51.309 +0100 CET,10001,10
2022-11-23 16:53:39.437 +0100 CET,10001,4
2022-11-23 17:03:44.333 +0100 CET,4772,3
2022-11-23 17:48:31.785 +0100 CET,4772,0
2022-11-23 18:43:24.087 +0100 CET,4772,0
2022-11-23 19:38:16.692 +0100 CET,4772,0
2022-11-23 20:33:09.229 +0100 CET,4772,0
2022-11-23 21:28:01.843 +0100 CET,4772,0
2022-11-23 22:22:54.173 +0100 CET,4772,0
2022-11-23 23:17:46.515 +0100 CET,4772,0
2022-11-24 00:12:39.058 +0100 CET,4772,0
2022-11-24 01:07:31.74 +0100 CET,4772,0
2022-11-24 02:02:24.312 +0100 CET,4772,0
2022-11-24 02:57:16.785 +0100 CET,4772,0
2022-11-24 03:52:09.023 +0100 CET,4772,0
2022-11-24 04:47:02.818 +0100 CET,4772,0
2022-11-24 05:41:54.606 +0100 CET,4772,0
